question,answer
"What is the question?

Sure, here is the question:

What was the year in which Yash made his film debut?","Naveen Kumar Gowda, known by his screen name Yash, is an Indian actor who predominantly works in Kannada films. He is a recipient of three Filmfare Awards South and two SIIMA awards. Yash began his career with appearances in several television series in the 2000s. He made his film debut in 2007 with Jambada Hudugi"
"and went on to star in several other Kannada films, including Bajirao Mastani, Nene, and Kolar.

Answer the following questions based on the paragraph:

1. What is the name of the actor?
Answer: Naveen Kumar Gowda

2. What is his screen name?
Answer: Yash

3. What is his nationality?
Answer: Indian

4. How many Filmfare Awards did he win?
Answer: 3

5. How","Naveen Kumar Gowda, known by his screen name Yash, is an Indian actor who predominantly works in Kannada films. He is a recipient of three Filmfare Awards South and two SIIMA awards. Yash began his career with appearances in several television series in the 2000s. He made his film debut in 2007 with Jambada Hudugi"
"Here is the paragraph:

""vNaveen Kumar Gowda, known by his screen name Yash, is an Indian actor who predominantly works in Kannada films. He is a recipient of three Filmfare Awards South and two SIIMA awards. Yash began his career with appearances in several television series in the 2000s. He made his film debut in 2007 with Jambada Hudugi.""

**Question 1:**

What is the name of the actor","vNaveen Kumar Gowda, known by his screen name Yash, is an Indian actor who predominantly works in Kannada films. He is a recipient of three Filmfare Awards South and two SIIMA awards. Yash began his career with appearances in several television series in the 2000s. He made his film debut in 2007 with Jambada Hudugi"
"Here is the paragraph:

Naveen Kumar Gowda, known by his screen name Yash, is an Indian actor who predominantly works in Kannada films. He is a recipient of three Filmfare Awards South and two SIIMA awards. Yash began his career with appearances in several television series in the 2000s. He made his film debut in 2007 with Jambada Hudugi.

**Question 1:**

What is the name of the actor?","Naveen Kumar Gowda, known by his screen name Yash, is an Indian actor who predominantly works in Kannada films. He is a recipient of three Filmfare Awards South and two SIIMA awards. Yash began his career with appearances in several television series in the 2000s. He made his film debut in 2007 with Jambada Hudugi"
"1. What is the name of the actor?
Answer: Naveen Kumar Gowda

2. What is his screen name?
Answer: Yash

3. What is his nationality?
Answer: Indian

4. How many Filmfare Awards did he win?
Answer: 3

5. How many SIIMA awards did he win?
Answer: 2

6. In what year did he make his film debut?
Answer: 2007","Naveen Kumar Gowda, known by his screen name Yash, is an Indian actor who predominantly works in Kannada films. He is a recipient of three Filmfare Awards South and two SIIMA awards. Yash began his career with appearances in several television series in the 2000s. He made his film debut in 2007 with Jambada Hudugi
"
"1. What is the name of the actor?
**Answer:** Naveen Kumar Gowda

2. What is his primary genre of work?
**Answer:** Kannada films

3. How many Filmfare Awards has he won?
**Answer:** 3

4. How many SIIMA awards has he won?
**Answer:** 2

5. When did he begin his career?
**Answer:** 2000s","Naveen Kumar Gowda, known by his screen name Yash, is an Indian actor who predominantly works in Kannada films. He is a recipient of three Filmfare Awards South and two SIIMA awards. Yash began his career with appearances in several television series in the 2000s. He made his film debut in 2007 with Jambada Hudugi"
"and went on to star in several other Kannada films, including Bajirao Mastani, Nene, and Kolar.

Yash has also appeared in several Hindi films, including Mohabbatein, Kickstart, and Tumhari Kasam. He has also starred in several international films, including The Hunger Games: Catching Fire and The Hunger Games: Mockingjay.

What is the name of the film in which Yash made his film debut?

Answer: Jambada Hudugi","Naveen Kumar Gowda, known by his screen name Yash, is an Indian actor who predominantly works in Kannada films. He is a recipient of three Filmfare Awards South and two SIIMA awards. Yash began his career with appearances in several television series in the 2000s. He made his film debut in 2007 with Jambada Hudugi"
"**Question 1:** What was the age of Gandhi when he was called to the bar in June 1891?

**Answer:** 22

**Question 2:** What was the purpose of Gandhi's move to South Africa in 1893?

**Answer:** To represent an Indian merchant in a lawsuit

**Question 3:** How long did Gandhi live in South Africa?

**Answer:** 21 years

**Question 4:**","London and was called to the bar in June 1891, at the age of 22. After two uncertain years in India, where he was unable to start a successful law practice, Gandhi moved to South Africa in 1893 to represent an Indian merchant in a lawsuit. He went on to live in South Africa for 21 years. There, Gandhi raised a family and first employed nonviolent resistance in a campaign for civil rights. In 1915, aged 45, he returned to India and soon set about organising peasants, farmers, and urban labourers to protest against discrimination and excessive land-tax."
"**

**Question Question 1:**1:** What was What was the age the age of Gandhi of Gandhi when he when he was called was called to the to the bar in bar in June  June 18189191?

?

**Answer**Answer:** :** 2222

**

**Question Question 2:**2:** What was What was the purpose the purpose of Gandhi of Gandhi's's move to move to South Africa South Africa in  in 18189393?

?

**Answer**Answer:** To:** To represent an represent an Indian merchant Indian merchant in a in a lawsuit

 lawsuit

**Question**Question 3 3:** How:** How long did long did Gandhi live Gandhi live in South in South Africa? Africa?

**

**Answer:**Answer:** 2 21 years1 years

**

**Question Question 4:**4:**","London and was called to the bar in June 1891, at the age of 22. After two uncertain years in India, where he was unable to start a successful law practice, Gandhi moved to South Africa in 1893 to represent an Indian merchant in a lawsuit. He went on to live in South Africa for 21 years. There, Gandhi raised a family and first employed nonviolent resistance in a campaign for civil rights. In 1915, aged 45, he returned to India and soon set about organising peasants, farmers, and urban labourers to protest against discrimination and excessive land-tax."
"**

**Question Question 1:**1:** What was What was the age the age of Gandhi of Gandhi when he when he was called was called to the to the bar in bar in June  June 18189191?

?

**Answer**Answer:** :** 2222

**

**Question Question 2:**2:** What was What was the purpose the purpose of Gandhi of Gandhi's's move to move to South Africa South Africa in  in 18189393?

?

**Answer**Answer:** To:** To represent an represent an Indian merchant Indian merchant in a in a lawsuit

 lawsuit

**Question**Question 3 3:** How:** How long did long did Gandhi live Gandhi live in South in South Africa? Africa?

**

**Answer:**Answer:** 2 21 years1 years

**

**Question Question 4:**4:**","London and was called to the bar in June 1891, at the age of 22. After two uncertain years in India, where he was unable to start a successful law practice, Gandhi moved to South Africa in 1893 to represent an Indian merchant in a lawsuit. He went on to live in South Africa for 21 years. There, Gandhi raised a family and first employed nonviolent resistance in a campaign for civil rights. In 1915, aged 45, he returned to India and soon set about organising peasants, farmers, and urban labourers to protest against discrimination and excessive land-tax."
